"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 12:20:54 GMT 2024","Sun Sep 01 12:20:54 GMT 2024","0","tests","test_search_product","","","","Positive test for POST search product",""
"passed","Sun Sep 01 12:20:56 GMT 2024","Sun Sep 01 12:20:56 GMT 2024","0","tests","test_user_account","","","","Positive test - create user",""
"passed","Sun Sep 01 12:20:55 GMT 2024","Sun Sep 01 12:20:55 GMT 2024","1","tests","test_search_product","","","","Positive test for POST search product",""
"passed","Sun Sep 01 12:20:53 GMT 2024","Sun Sep 01 12:20:53 GMT 2024","1","tests","test_brands_list","","","","Check PUT brand request",""
"passed","Sun Sep 01 12:21:01 GMT 2024","Sun Sep 01 12:21:01 GMT 2024","1","tests","test_verify_login","","","","Check DELETE verify login",""
"passed","Sun Sep 01 12:20:54 GMT 2024","Sun Sep 01 12:20:54 GMT 2024","0","tests","test_products_list","","","","Check GET products list request",""
"passed","Sun Sep 01 12:20:54 GMT 2024","Sun Sep 01 12:20:54 GMT 2024","0","tests","test_products_list","","","","Check POST product request",""
"passed","Sun Sep 01 12:20:58 GMT 2024","Sun Sep 01 12:20:58 GMT 2024","248","tests","test_user_account","","","","Positive test - update user",""
"passed","Sun Sep 01 12:20:56 GMT 2024","Sun Sep 01 12:20:56 GMT 2024","0","tests","test_search_product","","","","Negative test for POST search product",""
"passed","Sun Sep 01 12:20:55 GMT 2024","Sun Sep 01 12:20:55 GMT 2024","0","tests","test_search_product","","","","Negative test for POST search product",""
"passed","Sun Sep 01 12:21:00 GMT 2024","Sun Sep 01 12:21:00 GMT 2024","0","tests","test_verify_login","","","","Negative test - verify login, incomplete data",""
"passed","Sun Sep 01 12:20:57 GMT 2024","Sun Sep 01 12:20:57 GMT 2024","0","tests","test_user_account","","","","Negative test - create user",""
"passed","Sun Sep 01 12:20:55 GMT 2024","Sun Sep 01 12:20:55 GMT 2024","0","tests","test_search_product","","","","Positive test for POST search product",""
"passed","Sun Sep 01 12:20:59 GMT 2024","Sun Sep 01 12:20:59 GMT 2024","1","tests","test_user_account","","","","Negative test - update user",""
"passed","Sun Sep 01 12:20:54 GMT 2024","Sun Sep 01 12:20:54 GMT 2024","1","tests","test_search_product","","","","Positive test for POST search product",""
"passed","Sun Sep 01 12:20:53 GMT 2024","Sun Sep 01 12:20:53 GMT 2024","1","tests","test_brands_list","","","","Check GET brands request",""
"passed","Sun Sep 01 12:20:55 GMT 2024","Sun Sep 01 12:20:55 GMT 2024","0","tests","test_search_product","","","","Positive test for POST search product",""
"passed","Sun Sep 01 12:21:00 GMT 2024","Sun Sep 01 12:21:00 GMT 2024","0","tests","test_verify_login","","","","Positive test - verify login",""
"passed","Sun Sep 01 12:20:59 GMT 2024","Sun Sep 01 12:20:59 GMT 2024","1","tests","test_user_account","","","","Negative test - update user",""
"passed","Sun Sep 01 12:21:01 GMT 2024","Sun Sep 01 12:21:01 GMT 2024","0","tests","test_verify_login","","","","Negative test - verify login, incomplete data",""
"passed","Sun Sep 01 12:21:01 GMT 2024","Sun Sep 01 12:21:01 GMT 2024","0","tests","test_verify_login","","","","Negative test - verify login, invalid data",""
"passed","Sun Sep 01 12:20:57 GMT 2024","Sun Sep 01 12:20:57 GMT 2024","1","tests","test_user_account","","","","Positive test - create user",""
"passed","Sun Sep 01 12:20:59 GMT 2024","Sun Sep 01 12:20:59 GMT 2024","0","tests","test_user_account","","","","Negative test - update user",""
"passed","Sun Sep 01 12:21:00 GMT 2024","Sun Sep 01 12:21:00 GMT 2024","1","tests","test_verify_login","","","","Negative test - verify login, incomplete data",""
